Timestamp,Gender,Umur,Jenjang Pendidikan,Apakah anda lumayan sering berbelanja lewat online shopping platforms khususnya Shopee,Berapa lama Anda telah menggunakan platform belanja online Shopee, Saya merasa berbelanja di platform ini menyenangkan. (EN),Menggunakan platform ini adalah pengalaman yang mengasyikkan. (EN),Menjelajahi produk di platform ini memberi saya rasa kepuasan. (EN),Saya puas dengan kualitas produk yang ditawarkan di platform ini.  (CS),Pengalaman berbelanja di platform ini memenuhi harapan saya. (CS),Saya merasa senang dengan layanan pelanggan yang diberikan oleh platform ini. (CS),Saya lebih suka berbelanja di platform ini dibandingkan dengan yang lain. (BL),Saya cenderung terus menggunakan platform ini untuk pembelian di masa depan. (BL),Saya akan merekomendasikan platform ini kepada teman dan keluarga. (BL),Saya percaya pada informasi yang diberikan tentang produk di platform ini. (TR),Saya percaya platform ini mengutamakan kepentingan saya sebagai pelanggan. (TR),Platform ini menangani data pribadi saya dengan aman. (TR),Platform ini membantu saya menghemat waktu saat berbelanja online. (PU),Fitur-fitur di platform ini membuat belanja menjadi lebih nyaman.  (PU),Menggunakan platform ini meningkatkan efisiensi belanja saya. (PU),Mudah untuk menavigasi antarmuka platform ini. (PEOU),Saya merasa mudah mencari produk di platform ini. (PEOU),Belajar menggunakan platform ini sangat sederhana.  (PEOU),Saya khawatir dengan kualitas produk yang dibeli di platform ini. (PR),Ada risiko data pribadi saya disalahgunakan di platform ini. (PR),Saya khawatir tentang penjual palsu di platform ini. (PR),Teman dan keluarga saya merekomendasikan menggunakan platform ini. (SI),Popularitas platform ini memengaruhi keputusan saya untuk menggunakannya. (SI),Ulasan tentang platform ini mendorong saya untuk berbelanja di sini. (SI)
22/11/2024 12:07:41,Perempuan,18 - 30 tahun,Sarjana,Ya,5 tahun ke atas,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
22/11/2024 13:01:01,Laki Laki,18 - 30 tahun,SMA,Ya,2-3 tahun,5,5,5,3,4,5,2,2,3,4,4,5,5,4,5,5,5,5,2,3,4,3,4,3
22/11/2024 13:12:30,Laki Laki,18 - 30 tahun,Sarjana,Ya,3-4 tahun,4,3,4,4,4,4,3,5,5,4,4,4,4,4,4,3,4,3,4,4,5,4,4,4
23/11/2024 12:03:36,Laki Laki,18 - 30 tahun,Sarjana,Ya,5 tahun ke atas,2,1,2,1,2,1,2,2,1,2,1,2,1,2,1,3,2,1,2,1,1,1,2,1
23/11/2024 12:04:41,Perempuan,31 - 40 tahun,Sarjana,Ya,2-3 tahun,1,2,1,2,1,1,2,,2,1,1,1,2,2,1,1,2,1,1,1,1,2,1,2
26/11/2024 13:52:40,Laki Laki,18 - 30 tahun,SMA,Tidak,3-4 tahun,4,4,3,2,2,3,5,2,5,3,5,2,5,5,5,2,2,3,4,2,1,4,5,3
26/11/2024 13:53:33,,18 - 30 tahun,Sarjana,Ya,< 1 tahun,3,5,4,5,2,1,5,1,4,1,3,2,2,3,5,5,1,4,1,2,1,2,2,5
26/11/2024 13:53:33,,18 - 30 tahun,Magister/ Doktor,Ya,5 tahun ke atas,3,2,1,4,1,5,5,1,3,3,4,5,4,2,1,4,1,5,3,4,2,1,1,1
26/11/2024 13:53:33,,18 - 30 tahun,Magister/ Doktor,Ya,5 tahun ke atas,3,5,5,3,2,2,1,1,4,4,4,1,1,4,2,4,2,3,5,4,1,4,4,2
26/11/2024 13:53:33,Perempuan,31 - 40 tahun,Diploma,Tidak,2-3 tahun,1,5,1,5,4,1,5,4,1,5,2,2,3,4,2,3,2,2,5,2,2,3,2,2
26/11/2024 13:53:33,Laki Laki,>40 tahun,SMA,Ya,< 1 tahun,4,1,1,5,1,3,5,3,4,1,5,1,3,5,1,3,4,5,3,2,4,4,3,3
26/11/2024 13:53:33,Perempuan,18 - 30 tahun,Diploma,Ya,3-4 tahun,5,3,4,4,5,2,2,1,2,1,1,1,4,3,5,4,1,3,5,1,5,4,3,1
26/11/2024 13:53:33,Laki Laki,18 - 30 tahun,Sarjana,Ya,5 tahun ke atas,2,4,1,2,2,1,1,4,4,5,2,4,5,1,1,2,3,5,5,3,1,5,4,3
26/11/2024 13:53:33,Perempuan,>40 tahun,Sarjana,Tidak,< 1 tahun,1,1,1,2,1,2,2,4,2,4,1,3,5,2,5,2,4,3,2,5,4,2,1,2
26/11/2024 13:53:33,Perempuan,>40 tahun,Diploma,Ya,2-3 tahun,4,2,4,2,5,4,1,2,4,4,2,4,4,5,4,1,4,5,5,2,4,5,2,3
26/11/2024 13:53:33,Laki Laki,31 - 40 tahun,Sarjana,Ya,5 tahun ke atas,2,4,4,5,5,5,5,4,2,3,4,4,4,3,2,4,5,5,4,1,3,5,2,4
26/11/2024 13:53:33,Perempuan,18 - 30 tahun,Magister/ Doktor,Tidak,3-4 tahun,2,2,2,2,3,2,3,4,1,3,2,5,3,5,4,4,5,2,5,2,5,1,4,3
26/11/2024 13:53:33,Perempuan,>40 tahun,Sarjana,Ya,3-4 tahun,2,5,4,1,4,5,2,4,3,1,5,2,4,5,2,4,2,2,1,2,4,1,3,3
26/11/2024 13:53:33,,18 - 30 tahun,Magister/ Doktor,Tidak,3-4 tahun,2,3,2,4,3,3,3,3,3,3,4,2,2,4,2,1,2,1,2,3,4,2,1,1
26/11/2024 13:53:33,,18 - 30 tahun,SMA,Ya,< 1 tahun,3,5,1,1,4,4,1,3,1,1,3,4,2,1,1,5,4,4,3,2,1,1,3,5
26/11/2024 13:53:33,Perempuan,18 - 30 tahun,Sarjana,Tidak,5 tahun ke atas,1,1,3,2,2,5,5,3,3,4,5,2,1,3,1,5,3,1,2,2,2,1,1,3
26/11/2024 13:53:33,Laki Laki,18 - 30 tahun,Sarjana,Ya,5 tahun ke atas,3,2,5,3,4,5,3,1,2,1,2,4,1,3,3,1,4,4,1,3,5,2,2,2
26/11/2024 13:53:33,,>40 tahun,SMA,Ya,< 1 tahun,2,4,1,2,5,1,5,5,1,2,4,4,5,1,3,4,1,4,2,5,4,5,2,5
26/11/2024 13:53:33,,>40 tahun,Diploma,Ya,2-3 tahun,3,5,1,5,4,2,5,5,1,4,2,2,5,2,3,5,3,4,2,4,5,5,1,1
26/11/2024 13:53:33,Perempuan,31 - 40 tahun,Diploma,Tidak,3-4 tahun,5,5,4,5,5,4,3,2,3,4,5,3,2,3,1,5,4,5,2,3,2,2,5,2
26/11/2024 13:53:33,,31 - 40 tahun,Diploma,Tidak,2-3 tahun,3,5,2,3,2,3,1,1,2,2,4,1,4,3,3,1,2,1,2,1,4,2,4,3
26/11/2024 13:53:33,Laki Laki,18 - 30 tahun,Magister/ Doktor,Ya,3-4 tahun,2,4,1,2,1,2,1,3,4,4,4,1,1,3,1,1,2,4,1,3,5,2,5,5
26/11/2024 13:53:33,,>40 tahun,Magister/ Doktor,Ya,2-3 tahun,1,5,5,4,2,1,1,3,5,5,4,2,1,3,4,4,3,1,5,3,1,3,4,1
26/11/2024 13:53:33,,>40 tahun,Diploma,Ya,3-4 tahun,3,4,5,2,3,1,3,2,3,4,1,4,3,5,5,4,4,2,5,5,2,5,2,3
26/11/2024 13:53:33,,>40 tahun,Sarjana,Tidak,2-3 tahun,4,4,3,4,2,3,1,4,3,5,2,5,3,1,5,3,2,2,2,1,3,2,3,4
26/11/2024 13:53:33,Laki Laki,>40 tahun,Magister/ Doktor,Ya,< 1 tahun,5,5,5,4,1,5,5,3,4,4,3,1,4,3,3,5,2,5,2,1,5,2,4,4
26/11/2024 13:53:33,Laki Laki,18 - 30 tahun,Magister/ Doktor,Ya,3-4 tahun,1,1,4,5,3,1,4,2,2,3,4,1,1,5,4,3,2,5,3,3,2,4,5,4
26/11/2024 13:53:33,,>40 tahun,SMA,Tidak,< 1 tahun,5,3,3,2,4,2,1,2,5,4,4,4,1,4,5,4,3,3,5,4,1,5,3,1
26/11/2024 13:53:33,,31 - 40 tahun,Sarjana,Tidak,3-4 tahun,1,2,3,2,4,4,2,4,3,4,1,1,3,2,5,4,4,5,4,3,2,2,1,4
26/11/2024 13:53:33,,18 - 30 tahun,SMA,Ya,< 1 tahun,4,5,5,4,1,3,1,5,2,3,2,5,1,2,3,3,5,4,3,3,4,2,3,1
26/11/2024 13:53:33,Perempuan,31 - 40 tahun,Magister/ Doktor,Ya,< 1 tahun,2,2,1,4,3,5,3,5,5,4,5,3,3,2,5,5,4,4,1,3,4,2,5,1
26/11/2024 13:53:33,Laki Laki,>40 tahun,SMA,Tidak,2-3 tahun,2,1,2,1,2,4,5,3,3,2,2,5,4,3,2,1,4,5,1,3,1,2,4,1
26/11/2024 13:53:33,,18 - 30 tahun,Magister/ Doktor,Tidak,5 tahun ke atas,2,2,3,3,2,5,1,3,4,2,1,1,5,3,2,2,3,5,4,2,5,1,4,3
26/11/2024 13:53:33,Perempuan,18 - 30 tahun,Diploma,Ya,3-4 tahun,5,2,3,1,1,5,2,5,2,3,5,2,1,3,4,5,2,5,3,5,3,4,1,5
26/11/2024 13:53:33,,18 - 30 tahun,Magister/ Doktor,Ya,2-3 tahun,4,5,3,1,4,2,5,5,4,1,2,5,1,3,2,2,5,3,3,2,3,4,3,1
26/11/2024 13:53:33,,>40 tahun,SMA,Tidak,< 1 tahun,1,4,1,5,3,3,5,4,4,2,4,5,4,3,3,4,3,1,1,2,5,1,4,1
26/11/2024 13:53:33,,>40 tahun,Sarjana,Ya,< 1 tahun,2,2,4,2,5,4,1,2,2,4,4,1,2,5,4,2,1,1,4,1,1,5,5,4
26/11/2024 13:53:33,,18 - 30 tahun,Magister/ Doktor,Tidak,2-3 tahun,2,5,4,1,4,2,4,2,1,2,2,2,1,4,5,2,4,5,4,3,2,5,4,1
26/11/2024 13:53:33,Perempuan,18 - 30 tahun,Sarjana,Tidak,2-3 tahun,5,4,1,1,1,4,5,1,5,2,2,3,3,3,3,4,1,3,5,1,5,1,4,3
26/11/2024 13:53:33,Laki Laki,>40 tahun,SMA,Tidak,5 tahun ke atas,5,5,2,4,1,2,4,3,1,2,1,3,2,1,4,2,1,3,2,5,2,4,3,2
26/11/2024 13:53:33,Perempuan,31 - 40 tahun,Magister/ Doktor,Ya,3-4 tahun,5,2,1,5,3,1,4,5,4,2,5,3,3,3,4,2,5,1,2,4,2,2,5,3
26/11/2024 13:53:33,Perempuan,18 - 30 tahun,Sarjana,Ya,< 1 tahun,4,1,3,1,4,4,3,3,1,5,1,3,4,3,1,5,1,5,4,3,3,5,3,1
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:25,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:26,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:26,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:26,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:26,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:26,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:26,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:26,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:26,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:26,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:26,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:26,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:26,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:26,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:26,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:26,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:26,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:26,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:26,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:27,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:27,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:27,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:27,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:27,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5
26/11/2024 14:03:27,Perempuan,31 - 40 tahun,Sarjana,Ya,< 1 tahun,4,2,4,3,2,3,5,3,3,3,5,,3,5,3,2,4,2,4,3,2,5,5,5